branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,chianti,intel,2021.2,intelmpi,2021.2.0-gcc-9.3.0,g,Linux,Pass,13685,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d755d99739718938f6c99e4dbcd71bf798e08eae),03/02/2022_20:25:14
develop,discover,gfortran,10.1.0,intelmpi,19.1.3.304,O,Linux,Pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/93a4476c20d82ba13b82998e4843b49168f442b3),03/02/2022_20:30:53
develop,discover,gfortran,10.1.0,intelmpi,19.1.3.304,g,Linux,Pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1db4db2ca32c1b70937dcfaf3851007573af8231),03/02/2022_20:30:53
develop,discover,gfortran,8.3.0,intelmpi,19.1.3.304,O,Linux,Pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b0aa69764598806378eb0318286682b8be1355bf),03/02/2022_20:30:53
develop,discover,gfortran,8.3.0,mpiuni,none,O,Linux,Pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/01c9a1f0f1bf9242c577011cca0487483e78b0cd),03/02/2022_20:30:53
develop,discover,gfortran,8.3.0,mpt,2.17,O,Linux,Pass,13685,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c9d370bfb0473af50abfe307cfa36073ea8e957e),03/02/2022_20:30:53
develop,discover,gfortran,8.3.0,mpt,2.17,g,Linux,Pass,13685,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0c43092b88009453a6c97c377a5dc9825fb379de),03/02/2022_20:30:53
develop,discover,intel,2020,intelmpi,19.1.3.304,O,Linux,Pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ea0ef9c89e9181a8aac338db214192b6fd96d7ba),03/02/2022_20:30:53
develop,discover,intel,2020,intelmpi,19.1.3.304,g,Linux,Pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7d380c381b5a3388b4b850469ddb4dd1140d7e3d),03/02/2022_20:30:53
develop,discover,intel,2020,mpt,2.17,O,Linux,Pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7a18dd829f930aea82b5dc4e263a1f3e6bf92bd8),03/02/2022_20:30:53
develop,discover,intel,2020,mpt,2.17,g,Linux,Pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/81d4829748f6162ed2401a7ed5e5d808e03875fa),03/02/2022_20:30:53
develop,discover,pgi,2020,mpiuni,none,O,Linux,Pass,11536,622,6,2,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/086cccc3bdc2c8149bc3803d22dc93bf530c5793),03/02/2022_20:30:53
develop,discover,pgi,2020,mpiuni,none,g,Linux,Pass,11536,622,4,4,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3861144080c71617c35a423181ee970e99e4f2e2),03/02/2022_20:30:53
develop,gaea,gfortran,8.3.0,mpi,7.7.11,O,Unicos,Pass,13684,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0b7d35373edb729a91718e07aa28d0189c01efe9),03/02/2022_19:29:07
develop,gaea,gfortran,8.3.0,mpi,7.7.11,g,Unicos,Pass,13684,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/dbba402385c9c6d49706aaa2038150949a5da457),03/02/2022_19:29:07
develop,gaea,gfortran,8.3.0,mpiuni,none,g,Unicos,Pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/91c7dd6bb653407759ee1d5678126ef17983fc22),03/02/2022_19:29:07
develop,gaea,intel,2019.5,mpi,7.7.11,O,Unicos,Pass,13670,15,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f03a0814f95dd99b51fcb69167fd3546aeb4d50c),03/02/2022_19:29:07
develop,gaea,intel,2019.5,mpiuni,none,O,Unicos,Pass,12143,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9dc6102e7871d98b9a0b09232b77c4ce43f94d07),03/02/2022_19:29:07
develop,gaea,intel,2019.5,mpiuni,none,g,Unicos,Pass,12143,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ef25fbfee3441197afef3b91324b2ae86b28b431),03/02/2022_19:29:07
develop,hera,gfortran,9.2.0b,intelmpi,2020,O,Linux,Pass,0,8807,0,49,0,80,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/98fadaddab1cca4d23e014fd14310cab18457f99),03/02/2022_19:36:21
develop,hera,gfortran,9.2.0b,intelmpi,2020,g,Linux,Pass,0,8807,0,49,0,80,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/febf3154a058f1802f9d9aeae27af5b00cc458f4),03/02/2022_19:36:21
develop,hera,gfortran,9.2.0,mpiuni,none,O,Linux,Pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/821eed4f3259bb92e8502d67359eee5e3c8b10a7),03/02/2022_19:36:21
develop,hera,gfortran,9.2.0,mpiuni,none,g,Linux,Pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1c387816cb5f375b72d46f0a3e3fcb16fe1fc144),03/02/2022_19:36:21
develop,hera,gfortran,9.2.0,openmpi,3.1.4,g,Linux,Pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/60f84bad2c06597ffef14a67cb94edfbb6ac1d34),03/02/2022_19:36:21
develop,hera,intel,18.0.4,intelmpi,2018.4.274,O,Linux,Pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/88aceedb644445f2941329874f9f4669ffadc89a),03/02/2022_19:36:21
develop,hera,intel,18.0.4,intelmpi,2018.4.274,g,Linux,Pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/85b73f764e062595784ebec21e6e31652e4a0afd),03/02/2022_19:36:21
develop,hera,intel,18.0.4,mpiuni,none,O,Linux,Pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d8e0306b2fe1787dc106396dee1c1063425717d9),03/02/2022_19:36:21
develop,hera,intel,18.0.4,mpiuni,none,g,Linux,Pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/131818d9b363223dc2b698f35d7a2477b5394fcd),03/02/2022_19:36:21
develop,hera,pgi,18.1,intelmpi,2018.0.4,O,Linux,Fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6fe7cea2d18ecc9df192cb5c758024588fa9927d),03/02/2022_19:36:21
develop,hera,pgi,18.1,intelmpi,2018.0.4,g,Linux,Fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d1b8237520e96f3796e74666ed2c3cbf198433c5),03/02/2022_19:36:21
develop,jet,intel,2020.2,intelmpi,2020.2,O,Linux,Pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b49bc8ce42036114994e0c60cf58c2ba634159fb),03/02/2022_19:41:28
